business_name,niche,city,website,phone,email,website_design_score,mobile_score,cta_score,trust_score,branding_score,lead_opportunity_score,total_score,likely_offer_fit,top_issues,contact_method,outreach_status,follow_up_status,notes
All One Landscape Inc,landscaping,San Jose,https://www.allonelandscape.com/,408-771-0056,,3,3,3,3,3,4,19,Quick Conversion Refresh,"Has service detail and gallery language, but homepage copy is text-heavy and estimate flow is still mostly call-driven; trust/proof presentation could be stronger",phone,not_contacted,,Site highlights digital simulations and project gallery
Blue Sierra Landscape Construction,landscaping,San Jose,https://bluesierracorp.com/,,,4,4,4,4,4,4,24,Lead Gen Website Rebuild,"Fetched homepage returned almost no usable content beyond footer/licensing; weak visible proof and likely thin conversion experience; hard to understand offer quickly",website,not_contacted,,Expertise lists 652 Giguere Ct San Jose CA 95133
Dooling Landscape Service,landscaping,San Jose,https://doolinglandscapeservice.com/service-areas/san-jose-ca,,,3,3,3,3,3,3,18,Quick Conversion Refresh,"Service-area page exists and business is credible, but fetched review path was rate-limited; likely opportunity is cleaner quote flow and stronger San Jose-specific proof",website,not_contacted,,Expertise lists 388 Avenida Manzanos San Jose CA 95123
Elemental Design Group,landscaping,San Jose,https://elementaldesign.com/,,,2,2,3,2,2,2,13,hold,"Award-focused design studio with stronger brand than most targets; premium positioning lowers cold-outreach upside for a simple website-factory offer",website,not_contacted,,Better fit for hold unless angle changes
Larson Landscape,landscaping,San Jose,http://larsonlandscape.net/,(408) 807-2523,,4,4,3,4,4,4,23,Lead Gen Website Rebuild,"Fetched homepage gave almost nothing beyond a phone number; very weak visible trust/CTA structure and low-confidence web experience; strong rebuild candidate",phone,not_contacted,,Expertise lists San Jose service presence and strong project delivery reputation
Opulands,landscaping,San Jose,https://www.opulandscape.com/,,,2,2,3,2,2,2,13,hold,"Well-written, polished design/build positioning with broad Bay Area coverage; less immediate pain than weaker local microsites",website,not_contacted,,Likely lower-priority cold target
Flor Landscaping,landscaping,San Jose,https://florlandscaping.com/,,,2,2,2,2,2,3,13,hold,"Homepage is modern and service-rich with clear positioning; could improve CTA/testimonial depth, but not a top weak-site opportunity",website,not_contacted,,Better site than first-wave rebuild targets
R & J Landscaping,landscaping,San Jose,https://www.randjlandscaping.net/,,,2,2,2,2,2,2,12,hold,"Strong longevity and social proof callouts; clear service categories and testimonials reduce immediate upgrade urgency",website,not_contacted,,Mercury News best landscaper callout creates stronger trust baseline
San Jose Tree Service & Landscaping,landscaping,San Jose,https://sanjosetreemaintenance.com/,,,2,2,2,2,2,3,13,hold,"Homepage communicates services and trust clearly; more polished than initial weak-site targets though quote path could still be tighter",website,not_contacted,,Arborist-heavy positioning may support a different offer later
Green Foliage Unlimited,landscaping,San Jose,https://greenfoliageinc.com/bay-area/san-jose-landscaping,,,3,3,3,3,3,3,18,Quick Conversion Refresh,"Strong generic service copy but still feels template-heavy and broad; could improve differentiation, proof, and conversion focus for San Jose homeowners",website,not_contacted,,Good mid-tier refresh prospect
SouthBay Design & Landscaping,landscaping,San Jose,https://www.southbaydesignandlandscaping.com/,,,3,3,3,3,3,4,19,Quick Conversion Refresh,"Legitimate local operator, but likely room for stronger quote flow, project proof surfacing, and tighter mobile conversion",website,not_contacted,,Expertise lists 1725 Rogers Ave Suite J San Jose CA 95112
Affordable Landscape & Design Inc,landscaping,San Jose,https://www.affordablelandscapeanddesigninc.com/,,,3,3,3,3,3,4,19,Quick Conversion Refresh,"Good local fit and broad project scope, but likely opportunity is stronger trust packaging and cleaner conversion path",website,not_contacted,,Search confirms dedicated business site
Alexander & Sons,landscaping,San Jose,https://alexandersons.com/,,,2,2,2,2,2,3,13,hold,"Dedicated contractor site with clear services and showroom positioning; less urgent website pain than first-wave prospects",website,not_contacted,,Could revisit later for conversion-specific angle
Loayza's Landscaping Pools & Spas,landscaping,San Jose,https://www.loayzas.com/,,,2,2,3,2,2,3,14,hold,"Established multi-service operator with a dedicated site; likely opportunities exist, but not as obvious as weaker microsite rebuild targets",website,not_contacted,,Longstanding local business founded 1966 per Expertise
Penglin Landscaping,landscaping,San Jose,https://penglinlandscaping.com/,,,3,3,3,3,3,4,19,Quick Conversion Refresh,"Real local operator with dedicated site, but likely room for stronger trust display, gallery emphasis, and estimate-first conversion flow",website,not_contacted,,Search confirms San Jose landscaping service site
